week,month_of_year,week_of_month,bed_bath_table_items,computers_accessories_items,furniture_decor_items,health_beauty_items,sports_leisure_items,bed_bath_table_price,computers_accessories_price,furniture_decor_price,health_beauty_price,sports_leisure_price,bed_bath_table_freight,computers_accessories_freight,furniture_decor_freight,health_beauty_freight,sports_leisure_freight,bed_bath_table_review,computers_accessories_review,furniture_decor_review,health_beauty_review,sports_leisure_review,bed_bath_table_shipping,computers_accessories_shipping,furniture_decor_shipping,health_beauty_shipping,sports_leisure_shipping
2017-08-28/2017-09-03,8,4,88,46,85,79,72,9948.48,2895.06,6087.87,7732.37,6912.96,1513.35,810.8199999999999,1769.89,1247.28,1353.96,4.306818181818182,4.521739130434782,4.376470588235295,4.2784810126582276,4.305555555555555,13.444346459385521,9.938453099838968,12.249226171023963,12.450482008907642,12.810087609310699
2017-09-04/2017-09-10,9,1,80,49,71,73,69,8476.27,5125.95,6368.8,9887.85,8188.46,1432.98,870.1,1650.65,1622.46,1295.65,4.1625,4.448979591836735,4.253521126760563,4.328767123287672,4.27536231884058,11.483430555555556,12.436161422902494,11.085771061554512,13.982506976154236,12.674660997047772
2017-09-11/2017-09-17,9,2,139,49,65,84,101,13076.93,5128.3,7067.75,11902.619999999999,8836.86,2563.84,1094.28,1455.1200000000001,1737.46,1747.09,3.9280575539568345,3.5510204081632653,4.138461538461539,4.071428571428571,4.2772277227722775,11.292765620836663,12.44005503590325,11.678540598290597,12.586260885141092,11.939356321048772
2017-09-18/2017-09-24,9,3,136,40,78,71,103,12821.0,6602.85,5974.91,8481.08,13487.18,2423.23,914.81,1684.01,1475.86,1978.18,4.051470588235294,4.025,4.217948717948718,4.380281690140845,4.407766990291262,12.339231175108933,11.438344328703703,13.623404706790124,13.134694509650496,12.10356166846458
2017-09-25/2017-10-01,9,4,90,46,39,62,89,9350.31,4590.49,2962.07,8611.91,8220.960000000001,1733.38,885.99,730.48,1129.41,1541.74,3.966666666666667,3.847826086956522,4.205128205128205,4.338709677419355,4.303370786516854,11.65645396090535,11.46655948067633,12.381781517094018,13.820172304360813,11.692171374323763
2017-10-02/2017-10-08,10,1,92,62,63,58,103,7281.3,8430.26,5371.2300000000005,7293.28,11826.62,1577.38,995.57,1484.97,1227.81,1990.57,3.9130434782608696,3.903225806451613,3.6507936507936507,4.344827586206897,4.233009708737864,11.195024406199677,12.47556395609319,13.185429159318048,13.489239503512135,11.683187927004674
2017-10-09/2017-10-15,10,2,115,58,65,60,86,10416.92,8903.94,5738.47,6601.99,8652.41,2512.25,1015.29,1231.86,1125.24,1525.96,4.226086956521739,4.396551724137931,4.046153846153846,4.283333333333333,3.9186046511627906,12.057713768115942,12.467581816730522,14.552573361823363,11.69313175154321,12.624661794788976
2017-10-16/2017-10-22,10,3,145,64,96,86,81,11295.19,7759.4,8304.89,11881.09,9451.41,2327.91,1334.8,2094.29,1921.54,1483.72,3.1517241379310343,4.5,3.7604166666666665,4.3023255813953485,4.160493827160494,11.664660360791826,12.994225802951389,11.980916039737656,12.329826927217916,12.071359882258802
2017-10-23/2017-10-29,10,4,114,55,71,74,76,9628.4,7168.53,4623.7,6986.37,7212.0,1945.33,1386.66,1185.95,1214.1200000000001,1300.98,4.035087719298246,4.163636363636364,4.295774647887324,4.337837837837838,4.421052631578948,12.296846470922677,12.244377104377104,15.868958822378717,12.412548798798799,12.516566764132554
2017-10-30/2017-11-05,10,5,96,53,52,58,80,9006.64,7750.59,4327.81,7733.32,9125.62,1717.58,1129.3600000000001,1072.36,1341.72,1283.04,4.09375,3.849056603773585,3.480769230769231,4.206896551724138,4.125,13.878879484953705,12.57706892033543,11.785740518162394,13.461475095785442,11.36994212962963
2017-11-06/2017-11-12,11,1,127,70,93,68,87,11299.83,8127.21,7061.25,7532.02,10187.69,2383.94,1326.52,1843.32,984.55,1670.15,4.086614173228346,4.071428571428571,3.806451612903226,4.102941176470588,4.494252873563219,11.44152549941674,11.41411359126984,12.988509682397451,11.070282713779957,12.266087430821626
2017-11-13/2017-11-19,11,2,127,69,122,68,79,10462.22,9081.81,9560.11,10555.47,9120.82,2127.21,1270.71,2099.22,1406.71,1358.42,4.25984251968504,4.0144927536231885,3.7950819672131146,4.367647058823529,4.430379746835443,14.031568332604259,13.686560151637144,13.208184008803885,14.1529585375817,12.680410659868729
2017-11-20/2017-11-26,11,3,373,167,284,209,185,32910.340000000004,26635.5,22460.23,29178.03,17978.510000000002,6475.58,3525.29,5386.71,3764.59,3159.75,3.2064343163538873,3.8982035928143715,3.6056338028169015,3.8038277511961724,4.07027027027027,12.366791343957898,12.671702081947215,13.512241621022431,11.820627990430623,13.19600588088088
2017-11-27/2017-12-03,11,4,198,113,154,153,146,17534.66,13965.53,12736.53,20047.86,15446.59,3357.82,1996.47,3122.5,2986.11,2647.14,3.1666666666666665,4.035398230088496,3.5974025974025974,3.954248366013072,4.061643835616438,12.777942620650954,11.546488241560144,11.741047153078402,12.577447349310095,12.434840975393202
2017-12-04/2017-12-10,12,1,115,77,101,112,128,10896.01,7857.52,9342.52,15767.23,14536.39,2067.8,1309.92,2322.95,1864.83,2582.68,3.773913043478261,4.0519480519480515,3.871287128712871,4.357142857142857,3.984375,12.882002818035428,13.566870640933141,13.291096099193254,12.5212855489418,12.528577202690972
